Postcode,Bedrooms,PropertyType,VUDate,VTDate,TENDate,VUDays,VTDays,TotalVacDays,Program,HousingServiceCentre,LocalGovtAuthority,StateElectorate
4159,3,Detached House,Jul-20,Jul-20,Jul-20,2,1,3,Public Housing,BAYSIDE ,Redland,Capalaba
4077,4,Detached House,Nov-20,Nov-20,Nov-20,2,1,3,Public Housing,INALA ,Brisbane,Inala
4350,2,Duplex,Nov-20,Nov-20,Nov-20,2,1,3,Public Housing,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Toowoomba South
4702,4,Detached House,Nov-20,Dec-20,Dec-20,2,1,3,Public Housing,ROCKHAMPTON ,Rockhampton,Rockhampton
4815,2,Apartment,Mar-21,Mar-21,Mar-21,2,1,3,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4566,2,Apartment,May-21,May-21,May-21,2,1,3,Public Housing,MAROOCHYDORE ,Noosa,Noosa
4305,4,Detached House,Aug-20,Aug-20,Aug-20,2,5,7,Public Housing,IPSWICH ,Ipswich,Ipswich West
4551,3,Duplex,Jan-21,Jan-21,Jan-21,3,0,3,Public Housing,MAROOCHYDORE ,Sunshine Coast,Caloundra
4300,4,Detached House,Mar-21,Mar-21,Mar-21,3,0,3,Public Housing,IPSWICH ,Ipswich,Jordan
4508,2,Apartment,Apr-21,Apr-21,Apr-21,3,0,3,Public Housing,MORETON BAY ,Moreton Bay,Bancroft
0000,3,Detached House,Jun-21,Jun-21,Jun-21,3,0,3,Public Housing,LOGAN ,Logan,Woodridge
4816,3,Apartment,Feb-21,Feb-21,Feb-21,3,4,7,Public Housing,PALM ISLAND,Palm Island,Townsville
4558,3,Detached House,Jul-20,Aug-20,Aug-20,4,0,4,Public Housing,MAROOCHYDORE ,Sunshine Coast,Ninderry
4870,4,Detached House,Jun-21,Jun-21,Jun-21,5,0,5,Public Housing,CAIRNS ,Cairns,Cairns
4019,4,Duplex,Jul-20,Aug-20,Aug-20,5,1,6,Public Housing,MORETON BAY ,Moreton Bay,Redcliffe
4655,4,Detached House,Jul-20,Jul-20,Jul-20,5,3,8,Public Housing,MARYBOROUGH ,Fraser Coast,Hervey Bay
4053,2,Detached House,May-21,May-21,May-21,6,1,7,Public Housing,CHERMSIDE ,Brisbane,Stafford
4814,2,Apartment,Dec-20,Dec-20,Jan-21,6,34,40,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
4300,2,Detached House,Dec-20,Dec-20,Dec-20,7,0,7,Public Housing,IPSWICH ,Ipswich,Jordan
4720,2,Apartment,May-21,May-21,May-21,7,0,7,Public Housing,EMERALD ,Central Highlands,Gregory
4814,4,Detached House,Jan-21,Jan-21,Feb-21,7,3,10,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
4701,4,Detached House,Apr-21,May-21,May-21,8,0,8,Public Housing,ROCKHAMPTON ,Rockhampton,Keppel
4680,3,Detached House,Jun-21,Jun-21,Jun-21,8,0,8,Public Housing,GLADSTONE ,Gladstone,Gladstone
4305,2,Detached House,Oct-20,Oct-20,Oct-20,10,0,10,Public Housing,IPSWICH ,Ipswich,Ipswich West
4810,2,Apartment,Mar-21,Mar-21,Mar-21,10,0,10,Public Housing,TOWNSVILLE ,Townsville,Townsville
4053,3,Detached House,May-21,Jun-21,Jun-21,27,1,28,Public Housing,CHERMSIDE ,Brisbane,Stafford
0000,4,Townhouse,May-21,Jun-21,Jun-21,28,0,28,Public Housing,MORETON BAY ,Moreton Bay,Morayfield
4157,3,Detached House,May-21,Jun-21,Jun-21,28,4,32,Public Housing,BAYSIDE ,Redland,Capalaba
4570,3,Detached House,Dec-20,Jan-21,Jan-21,38,1,39,Public Housing,MAROOCHYDORE ,Gympie,Gympie
4306,4,Detached House,Aug-20,Aug-20,Aug-20,0,0,0,Public Housing,IPSWICH ,Ipswich,Ipswich
4306,4,Detached House,Aug-20,Aug-20,Aug-20,0,0,0,Public Housing,IPSWICH ,Ipswich,Ipswich
4350,2,Townhouse,Sep-20,Sep-20,Sep-20,0,0,0,Public Housing,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Toowoomba North
4750,2,Apartment,Nov-20,Nov-20,Nov-20,0,0,0,Public Housing,MACKAY ,Mackay,Whitsunday
4108,2,Apartment,Jul-20,Jul-20,Jul-20,0,0,0,Public Housing,BURANDA ,Brisbane,Toohey
4580,3,Detached House,Apr-21,Apr-21,May-21,0,36,36,Public Housing,MAROOCHYDORE ,Gympie,Gympie
4172,4,Detached House,Apr-21,Apr-21,Apr-21,0,0,0,Public Housing,BURANDA ,Brisbane,Bulimba
4109,3,Detached House,Sep-20,Sep-20,Sep-20,0,0,0,Public Housing,BURANDA ,Brisbane,Toohey
4152,3,Detached House,Jun-21,Jun-21,Jun-21,0,0,0,Public Housing,BURANDA ,Brisbane,Chatsworth
